会员编号,股票代码,股票名称,交易类型,交易量,股票价格,总股价,交易手续费,交易状态,交易日期
QD168,PPE,越南电力油气咨询工程公司,购买,450,4.02,1809.00,0.00,交易锁定,"2016-06-30 15:55:18"
95566123,PPE,越南电力油气咨询工程公司,购买,385,4.02,1547.70,0.00,交易锁定,"2016-06-30 15:55:14"
YT5796,HPM,皇富矿业,出售,1000,5.19,5190.00,51.90,交易锁定,"2016-06-30 15:55:12"
12137388,PPE,越南电力油气咨询工程公司,购买,10000,4.02,40200.00,0.00,交易锁定,"2016-06-30 15:55:11"
yt033,PPE,越南电力油气咨询工程公司,购买,2551,4.02,10255.02,0.00,交易锁定,"2016-06-30 15:55:04"
882206,PPE,越南电力油气咨询工程公司,购买,831,4.02,3340.62,0.00,交易锁定,"2016-06-30 15:55:02"
YT3777,HPM,皇富矿业,出售,40000,5.19,207600.00,2076.00,交易锁定,"2016-06-30 15:54:57"
P69426980,PPE,越南电力油气咨询工程公司,购买,70000,4.02,281400.00,0.00,交易锁定,"2016-06-30 15:54:56"
66668888,PPE,越南电力油气咨询工程公司,购买,2552,4.02,10259.04,0.00,交易锁定,"2016-06-30 15:54:54"
090909,HPM,皇富矿业,出售,2719,5.19,14111.61,141.12,交易锁定,"2016-06-30 15:54:46"
YT39717,PPE,越南电力油气咨询工程公司,购买,2000,4.02,8040.00,0.00,交易锁定,"2016-06-30 15:54:42"
19862988,PPE,越南电力油气咨询工程公司,购买,110,4.02,442.20,0.00,交易锁定,"2016-06-30 15:54:42"
63936789,HPM,皇富矿业,出售,20000,5.19,103800.00,1038.00,交易锁定,"2016-06-30 15:54:34"
00100161,PPE,越南电力油气咨询工程公司,购买,73,4.02,293.46,0.00,交易锁定,"2016-06-30 15:54:33"
78751129,PPE,越南电力油气咨询工程公司,购买,12575,4.02,50551.50,0.00,交易锁定,"2016-06-30 15:54:29"
P84647396,HPM,皇富矿业,出售,2356,5.19,12227.64,122.28,交易锁定,"2016-06-30 15:54:24"
35785872,HPM,皇富矿业,出售,5429,5.19,28176.51,281.77,交易锁定,"2016-06-30 15:54:18"
12345678,PPE,越南电力油气咨询工程公司,购买,79,4.02,317.58,0.00,交易锁定,"2016-06-30 15:54:17"
87868806,PPE,越南电力油气咨询工程公司,购买,4000,4.02,16080.00,0.00,交易锁定,"2016-06-30 15:54:16"
YT539311,PPE,越南电力油气咨询工程公司,购买,922,4.02,3706.44,0.00,交易锁定,"2016-06-30 15:54:16"
ver,PPE,越南电力油气咨询工程公司,购买,25,4.02,100.50,0.00,交易锁定,"2016-06-30 15:53:48"
19862988,PPE,越南电力油气咨询工程公司,购买,4000,4.02,16080.00,0.00,交易锁定,"2016-06-30 15:53:46"
573592,PPE,越南电力油气咨询工程公司,购买,50000,4.02,201000.00,0.00,交易锁定,"2016-06-30 15:53:46"
7851370,PPE,越南电力油气咨询工程公司,购买,12708,4.02,51086.16,0.00,交易锁定,"2016-06-30 15:53:43"
00100108,PPE,越南电力油气咨询工程公司,购买,42,4.02,168.84,0.00,交易锁定,"2016-06-30 15:53:34"
GYP001,PPE,越南电力油气咨询工程公司,购买,24875,4.02,99997.50,0.00,交易锁定,"2016-06-30 15:53:24"
LBS,PPE,越南电力油气咨询工程公司,购买,700,4.02,2814.00,0.00,交易锁定,"2016-06-30 15:53:18"
P16741341,PPE,越南电力油气咨询工程公司,购买,2500,4.02,10050.00,0.00,交易锁定,"2016-06-30 15:53:11"
WCJ19882,PPE,越南电力油气咨询工程公司,购买,9765,4.02,39255.30,0.00,交易锁定,"2016-06-30 15:52:55"
882206,PPE,越南电力油气咨询工程公司,购买,3000,4.02,12060.00,0.00,交易锁定,"2016-06-30 15:52:51"
00600600,PPE,越南电力油气咨询工程公司,购买,24334,4.02,97822.68,0.00,交易锁定,"2016-06-30 15:52:49"
OB2601,PPE,越南电力油气咨询工程公司,购买,5000,4.02,20100.00,0.00,交易锁定,"2016-06-30 15:52:47"
97456933,HPM,皇富矿业,出售,10000,5.19,51900.00,519.00,交易锁定,"2016-06-30 15:52:44"
lqd001,PPE,越南电力油气咨询工程公司,购买,34,4.02,136.68,0.00,交易锁定,"2016-06-30 15:52:41"
090909,HPM,皇富矿业,出售,40000,5.19,207600.00,2076.00,交易锁定,"2016-06-30 15:52:41"
54719518,PPE,越南电力油气咨询工程公司,购买,3000,4.02,12060.00,0.00,交易锁定,"2016-06-30 15:52:35"
P20150616,PPE,越南电力油气咨询工程公司,购买,5000,4.02,20100.00,0.00,交易锁定,"2016-06-30 15:52:29"
95566126,PPE,越南电力油气咨询工程公司,购买,1,4.02,4.02,0.00,交易锁定,"2016-06-30 15:52:26"
98902568,PPE,越南电力油气咨询工程公司,购买,5000,4.02,20100.00,0.00,交易锁定,"2016-06-30 15:52:25"
72649609,HPM,皇富矿业,出售,4525,5.19,23484.75,234.85,交易锁定,"2016-06-30 15:52:25"
HF001,PPE,越南电力油气咨询工程公司,购买,1000,4.02,4020.00,0.00,交易锁定,"2016-06-30 15:52:22"
1800800,HPM,皇富矿业,出售,13542,5.19,70282.98,702.83,交易锁定,"2016-06-30 15:52:21"
66688999,PPE,越南电力油气咨询工程公司,购买,10,4.02,40.20,0.00,交易锁定,"2016-06-30 15:52:17"
20150123,PPE,越南电力油气咨询工程公司,购买,754,4.02,3031.08,0.00,交易锁定,"2016-06-30 15:52:16"
82953990,PPE,越南电力油气咨询工程公司,购买,1000,4.02,4020.00,0.00,交易锁定,"2016-06-30 15:52:12"
3956,PPE,越南电力油气咨询工程公司,购买,2461,4.02,9893.22,0.00,交易锁定,"2016-06-30 15:52:10"
PXM168,PPE,越南电力油气咨询工程公司,购买,3000,4.02,12060.00,0.00,交易锁定,"2016-06-30 15:52:06"
GSP002,PPE,越南电力油气咨询工程公司,购买,3000,4.02,12060.00,0.00,交易锁定,"2016-06-30 15:52:04"
19780501,HPM,皇富矿业,出售,4000,5.19,20760.00,207.60,交易锁定,"2016-06-30 15:52:01"
20150802,PPE,越南电力油气咨询工程公司,购买,747,4.02,3002.94,0.00,交易锁定,"2016-06-30 15:51:58"
62229868,PPE,越南电力油气咨询工程公司,购买,124,4.02,498.48,0.00,交易锁定,"2016-06-30 15:51:48"
95566126,PPE,越南电力油气咨询工程公司,购买,66,4.02,265.32,0.00,交易锁定,"2016-06-30 15:51:43"
39511368,PPE,越南电力油气咨询工程公司,购买,1,4.02,4.02,0.00,交易锁定,"2016-06-30 15:51:41"
jsy588,PPE,越南电力油气咨询工程公司,购买,3500,4.02,14070.00,0.00,交易锁定,"2016-06-30 15:51:39"
P51830021,HPM,皇富矿业,出售,703,5.19,3648.57,36.49,交易锁定,"2016-06-30 15:51:34"
19795420,PPE,越南电力油气咨询工程公司,购买,2018,4.02,8112.36,0.00,交易锁定,"2016-06-30 15:51:33"
32781557,HPM,皇富矿业,出售,445,5.19,2309.55,23.10,交易锁定,"2016-06-30 15:51:22"
P83821578,HPM,皇富矿业,出售,79272,5.19,411421.68,4114.22,交易锁定,"2016-06-30 15:51:18"
HF001,PPE,越南电力油气咨询工程公司,购买,54000,4.02,217080.00,0.00,交易锁定,"2016-06-30 15:51:15"
LBC9789,PPE,越南电力油气咨询工程公司,购买,13060,4.02,52501.20,0.00,交易锁定,"2016-06-30 15:51:12"
WHY1998,PPE,越南电力油气咨询工程公司,购买,2,4.02,8.04,0.00,交易锁定,"2016-06-30 15:51:10"
99995858,PPE,越南电力油气咨询工程公司,购买,248756,4.02,999999.12,0.00,交易锁定,"2016-06-30 15:51:07"
OB2601,PPE,越南电力油气咨询工程公司,购买,10000,4.02,40200.00,0.00,交易锁定,"2016-06-30 15:51:07"
95566126,PPE,越南电力油气咨询工程公司,购买,32000,4.02,128640.00,0.00,交易锁定,"2016-06-30 15:51:00"
26881999,HPM,皇富矿业,出售,50000,5.19,259500.00,2595.00,交易锁定,"2016-06-30 15:50:59"
P32266298,HPM,皇富矿业,出售,500,5.19,2595.00,25.95,交易锁定,"2016-06-30 15:50:57"
49975658,HPM,皇富矿业,出售,23302,5.19,120937.38,1209.37,交易锁定,"2016-06-30 15:50:54"
20150123,PPE,越南电力油气咨询工程公司,购买,1,4.02,4.02,0.00,交易锁定,"2016-06-30 15:50:54"
0073028,PPE,越南电力油气咨询工程公司,购买,347,4.02,1394.94,0.00,交易锁定,"2016-06-30 15:50:45"
19700904,HPM,皇富矿业,出售,28153,5.19,146114.07,1461.14,交易锁定,"2016-06-30 15:50:44"
6700088,PPE,越南电力油气咨询工程公司,购买,1,4.02,4.02,0.00,交易锁定,"2016-06-30 15:50:38"
P67960255,PPE,越南电力油气咨询工程公司,购买,70,4.02,281.40,0.00,交易锁定,"2016-06-30 15:50:34"
WHY1998,PPE,越南电力油气咨询工程公司,购买,12,4.02,48.24,0.00,交易锁定,"2016-06-30 15:50:26"
10003056,PPE,越南电力油气咨询工程公司,购买,300,4.02,1206.00,0.00,交易锁定,"2016-06-30 15:50:23"
YW168,PPE,越南电力油气咨询工程公司,购买,13827,4.02,55584.54,0.00,交易锁定,"2016-06-30 15:50:21"
YL1988,PPE,越南电力油气咨询工程公司,购买,19753,4.02,79407.06,0.00,交易锁定,"2016-06-30 15:50:21"
YT6668,PPE,越南电力油气咨询工程公司,购买,95,4.02,381.90,0.00,交易锁定,"2016-06-30 15:50:19"
DQ005,PPE,越南电力油气咨询工程公司,购买,23319,4.02,93742.38,0.00,交易锁定,"2016-06-30 15:50:13"
0073028,PPE,越南电力油气咨询工程公司,购买,11800,4.02,47436.00,0.00,交易锁定,"2016-06-30 15:50:11"
33496896,PPE,越南电力油气咨询工程公司,购买,4,4.02,16.08,0.00,交易锁定,"2016-06-30 15:50:11"
60004839,HPM,皇富矿业,出售,75803,5.19,393417.57,3934.18,交易锁定,"2016-06-30 15:50:04"
19700902,HPM,皇富矿业,出售,14873,5.19,77190.87,771.91,交易锁定,"2016-06-30 15:50:00"
00100119,PPE,越南电力油气咨询工程公司,购买,25,4.02,100.50,0.00,交易锁定,"2016-06-30 15:49:59"
YT88556,PPE,越南电力油气咨询工程公司,购买,1380,4.02,5547.60,0.00,交易锁定,"2016-06-30 15:49:55"
CXJ886,HPM,皇富矿业,购买,192,5.19,996.48,0.00,交易锁定,"2016-06-30 15:49:53"
20150148,PPE,越南电力油气咨询工程公司,购买,2,4.02,8.04,0.00,交易锁定,"2016-06-30 15:49:48"
P88784420,PPE,越南电力油气咨询工程公司,购买,8332,4.02,33494.64,0.00,交易锁定,"2016-06-30 15:49:47"
P67960255,PPE,越南电力油气咨询工程公司,购买,250,4.02,1005.00,0.00,交易锁定,"2016-06-30 15:49:43"
1568866,PPE,越南电力油气咨询工程公司,购买,5000,4.02,20100.00,0.00,交易锁定,"2016-06-30 15:49:39"
12350353,PPE,越南电力油气咨询工程公司,购买,789,4.02,3171.78,0.00,交易锁定,"2016-06-30 15:49:35"
72649608,HPM,皇富矿业,出售,55000,5.19,285450.00,2854.50,交易锁定,"2016-06-30 15:49:33"
GYP001,PPE,越南电力油气咨询工程公司,购买,24875,4.02,99997.50,0.00,交易锁定,"2016-06-30 15:49:33"
99995858,PPE,越南电力油气咨询工程公司,购买,24870,4.02,99977.40,0.00,交易锁定,"2016-06-30 15:49:26"
00100558,PPE,越南电力油气咨询工程公司,购买,200,4.02,804.00,0.00,交易锁定,"2016-06-30 15:49:24"
P16978909,PPE,越南电力油气咨询工程公司,购买,28,4.02,112.56,0.00,交易锁定,"2016-06-30 15:49:24"
33496896,PPE,越南电力油气咨询工程公司,购买,15,4.02,60.30,0.00,交易锁定,"2016-06-30 15:49:19"
88068453,PPE,越南电力油气咨询工程公司,购买,1697,4.02,6821.94,0.00,交易锁定,"2016-06-30 15:49:14"
20150148,PPE,越南电力油气咨询工程公司,购买,470,4.02,1889.40,0.00,交易锁定,"2016-06-30 15:49:14"
25099868,HPM,皇富矿业,出售,11007,5.19,57126.33,571.26,交易锁定,"2016-06-30 15:49:09"
59011265,HPM,皇富矿业,出售,1258,5.19,6529.02,65.29,交易锁定,"2016-06-30 15:48:56"
yt066,PPE,越南电力油气咨询工程公司,购买,3317,4.02,13334.34,0.00,交易锁定,"2016-06-30 15:48:55"
P67960255,PPE,越南电力油气咨询工程公司,购买,1000,4.02,4020.00,0.00,交易锁定,"2016-06-30 15:48:54"
YT167,PPE,越南电力油气咨询工程公司,购买,25000,4.02,100500.00,0.00,交易锁定,"2016-06-30 15:48:52"
19700903,HPM,皇富矿业,出售,83313,5.19,432394.47,4323.94,交易锁定,"2016-06-30 15:48:49"
P16978909,PPE,越南电力油气咨询工程公司,购买,350,4.02,1407.00,0.00,交易锁定,"2016-06-30 15:48:48"
1314,HPM,皇富矿业,出售,39296,5.19,203946.24,2039.46,交易锁定,"2016-06-30 15:48:48"
0072066,PPE,越南电力油气咨询工程公司,购买,4180,4.02,16803.60,0.00,交易锁定,"2016-06-30 15:48:47"
1587888,PPE,越南电力油气咨询工程公司,购买,1276,4.02,5129.52,0.00,交易锁定,"2016-06-30 15:48:43"
YT6355,PPE,越南电力油气咨询工程公司,购买,1,4.02,4.02,0.00,交易锁定,"2016-06-30 15:48:39"
666987,PPE,越南电力油气咨询工程公司,购买,10000,4.02,40200.00,0.00,交易锁定,"2016-06-30 15:48:38"
P15815878,PPE,越南电力油气咨询工程公司,购买,1000,4.02,4020.00,0.00,交易锁定,"2016-06-30 15:48:37"
ZWQ002,PPE,越南电力油气咨询工程公司,购买,2000,4.02,8040.00,0.00,交易锁定,"2016-06-30 15:48:35"
12350353,PPE,越南电力油气咨询工程公司,购买,4000,4.02,16080.00,0.00,交易锁定,"2016-06-30 15:48:33"
P1123,PPE,越南电力油气咨询工程公司,购买,1512,4.02,6078.24,0.00,交易锁定,"2016-06-30 15:48:32"
ycy6688,HPM,皇富矿业,出售,6183,5.19,32089.77,320.90,交易锁定,"2016-06-30 15:48:28"
33496896,PPE,越南电力油气咨询工程公司,购买,30,4.02,120.60,0.00,交易锁定,"2016-06-30 15:48:27"
YT356,PPE,越南电力油气咨询工程公司,购买,2536,4.02,10194.72,0.00,交易锁定,"2016-06-30 15:48:25"
847158,PPE,越南电力油气咨询工程公司,购买,3000,4.02,12060.00,0.00,交易锁定,"2016-06-30 15:48:22"
0073086,PPE,越南电力油气咨询工程公司,购买,33,4.02,132.66,0.00,交易锁定,"2016-06-30 15:48:17"
P15265486,HPM,皇富矿业,出售,7793,5.19,40445.67,404.46,交易锁定,"2016-06-30 15:48:17"
60982668,PPE,越南电力油气咨询工程公司,购买,2,4.02,8.04,0.00,交易锁定,"2016-06-30 15:48:09"
20150148,PPE,越南电力油气咨询工程公司,购买,1000,4.02,4020.00,0.00,交易锁定,"2016-06-30 15:48:08"
19810103,PPE,越南电力油气咨询工程公司,购买,10807,4.02,43444.14,0.00,交易锁定,"2016-06-30 15:48:07"
95566125,PPE,越南电力油气咨询工程公司,购买,47898,4.02,192549.96,0.00,交易锁定,"2016-06-30 15:48:03"
52712506,HPM,皇富矿业,出售,20000,5.19,103800.00,1038.00,交易锁定,"2016-06-30 15:47:57"
20161878,PPE,越南电力油气咨询工程公司,购买,31,4.02,124.62,0.00,交易锁定,"2016-06-30 15:47:56"
90049286,PPE,越南电力油气咨询工程公司,购买,12810,4.02,51496.20,0.00,交易锁定,"2016-06-30 15:47:53"
858786,PPE,越南电力油气咨询工程公司,购买,12985,4.02,52199.70,0.00,交易锁定,"2016-06-30 15:47:52"
1800800,PPE,越南电力油气咨询工程公司,购买,215,4.02,864.30,0.00,交易锁定,"2016-06-30 15:47:50"
ver,PPE,越南电力油气咨询工程公司,购买,3333,4.02,13398.66,0.00,交易锁定,"2016-06-30 15:47:50"
YT8877,PPE,越南电力油气咨询工程公司,购买,25,4.02,100.50,0.00,交易锁定,"2016-06-30 15:47:42"
0073086,PPE,越南电力油气咨询工程公司,购买,3327,4.02,13374.54,0.00,交易锁定,"2016-06-30 15:47:39"
YT196603,PPE,越南电力油气咨询工程公司,购买,432,4.02,1736.64,0.00,交易锁定,"2016-06-30 15:47:37"
P16978909,PPE,越南电力油气咨询工程公司,购买,38006,4.02,152784.12,0.00,交易锁定,"2016-06-30 15:47:34"
95566123,PPE,越南电力油气咨询工程公司,购买,21950,4.02,88239.00,0.00,交易锁定,"2016-06-30 15:47:33"
YT6355,PPE,越南电力油气咨询工程公司,购买,495,4.02,1989.90,0.00,交易锁定,"2016-06-30 15:47:32"
20150148,PPE,越南电力油气咨询工程公司,购买,10000,4.02,40200.00,0.00,交易锁定,"2016-06-30 15:47:25"
0072538,PPE,越南电力油气咨询工程公司,购买,12437,4.02,49996.74,0.00,交易锁定,"2016-06-30 15:47:25"
111333,PPE,越南电力油气咨询工程公司,购买,12707,4.02,51082.14,0.00,交易锁定,"2016-06-30 15:47:18"
33496896,PPE,越南电力油气咨询工程公司,购买,6950,4.02,27939.00,0.00,交易锁定,"2016-06-30 15:47:16"
P69426980,PPE,越南电力油气咨询工程公司,购买,17660,4.02,70993.20,0.00,交易锁定,"2016-06-30 15:47:15"
51851890,PPE,越南电力油气咨询工程公司,购买,625,4.02,2512.50,0.00,交易锁定,"2016-06-30 15:47:12"
00100558,PPE,越南电力油气咨询工程公司,购买,9450,4.02,37989.00,0.00,交易锁定,"2016-06-30 15:47:11"
88888888,PPE,越南电力油气咨询工程公司,购买,127,4.02,510.54,0.00,交易锁定,"2016-06-30 15:47:06"
YT8877,PPE,越南电力油气咨询工程公司,购买,3434,4.02,13804.68,0.00,交易锁定,"2016-06-30 15:47:02"
P67960255,PPE,越南电力油气咨询工程公司,购买,30000,4.02,120600.00,0.00,交易锁定,"2016-06-30 15:46:55"
P32266298,HPM,皇富矿业,出售,1000,5.19,5190.00,51.90,交易锁定,"2016-06-30 15:46:54"
00100166,PPE,越南电力油气咨询工程公司,购买,997,4.02,4007.94,0.00,交易锁定,"2016-06-30 15:46:53"
196061783,PPE,越南电力油气咨询工程公司,购买,86,4.02,345.72,0.00,交易锁定,"2016-06-30 15:46:50"
YT6668,PPE,越南电力油气咨询工程公司,购买,12613,4.02,50704.26,0.00,交易锁定,"2016-06-30 15:46:49"
taj2088,PPE,越南电力油气咨询工程公司,购买,117,4.02,470.34,0.00,交易锁定,"2016-06-30 15:46:48"
57014428,HPM,皇富矿业,出售,127837,5.19,663474.03,6634.74,交易锁定,"2016-06-30 15:46:12"
0072504,PPE,越南电力油气咨询工程公司,购买,5400,4.41,23814.00,0.00,交易锁定,"2016-06-30 15:46:12"
95566127,PPE,越南电力油气咨询工程公司,购买,100000,4.41,441000.00,0.00,交易锁定,"2016-06-30 15:46:11"
K30476018,HPM,皇富矿业,出售,5220,5.19,27091.80,270.92,交易锁定,"2016-06-30 15:46:10"
62229868,HPM,皇富矿业,出售,7082,5.19,36755.58,367.56,交易锁定,"2016-06-30 15:46:09"
20159998,HPM,皇富矿业,出售,14490,5.19,75203.10,752.03,交易锁定,"2016-06-30 15:46:04"
12350353,PPE,越南电力油气咨询工程公司,购买,10000,4.41,44100.00,0.00,交易锁定,"2016-06-30 15:45:22"
00100166,PPE,越南电力油气咨询工程公司,购买,22592,4.41,99630.72,0.00,交易锁定,"2016-06-30 15:44:57"
2016506,PPE,越南电力油气咨询工程公司,购买,1274,4.41,5618.34,0.00,交易锁定,"2016-06-30 15:44:33"
YW001,PPE,越南电力油气咨询工程公司,购买,4000,4.41,17640.00,0.00,交易锁定,"2016-06-30 15:44:30"
90953668,HPM,皇富矿业,出售,198368,5.19,1029529.92,10295.30,交易锁定,"2016-06-30 15:44:13"
20156086,PPE,越南电力油气咨询工程公司,购买,11358,4.41,50088.78,0.00,交易锁定,"2016-06-30 15:43:12"
009009066,HPM,皇富矿业,出售,55194,5.19,286456.86,2864.57,交易锁定,"2016-06-30 15:43:12"
0090099888,HPM,皇富矿业,出售,5410,5.19,28077.90,280.78,交易锁定,"2016-06-30 15:42:07"
12350353,PPE,越南电力油气咨询工程公司,购买,6802,4.41,29996.82,0.00,交易锁定,"2016-06-30 15:41:50"
109999,HPM,皇富矿业,出售,12474,5.19,64740.06,647.40,交易锁定,"2016-06-30 15:40:55"
35023848,HPM,皇富矿业,出售,6033,5.19,31311.27,313.11,交易锁定,"2016-06-30 15:40:03"
009009555,HPM,皇富矿业,出售,6505,5.19,33760.95,337.61,交易锁定,"2016-06-30 15:39:45"
88068453,PPE,越南电力油气咨询工程公司,购买,1133,4.41,4996.53,0.00,交易锁定,"2016-06-30 15:38:35"
15815899,HPM,皇富矿业,出售,5000,5.19,25950.00,259.50,交易锁定,"2016-06-30 15:38:15"
20001632,HPM,皇富矿业,出售,4526,5.19,23489.94,234.90,交易锁定,"2016-06-30 15:37:30"
20161878,HPM,皇富矿业,出售,1500,5.19,7785.00,77.85,交易锁定,"2016-06-30 15:37:08"
